declared_job_role;normalized_job_role;general_cluster;function
Project Manager;Project Manager;Operations;Project Management
Customer Service Representative;Customer Service Representative;Customer Service or Support;Customer Service
Visual Merchandising Team Lead;Visual Merchandising Manager;Creative and Design;Visual Merchandising
Financial Planning & Analysis FP&A;Financial Planner;Finance and Accounting;Financial Planning and Analysis
Senior Stock Controller;Stock Manager;Operations;Inventory Management
Showroom Seller Sales Assistant;Showroom Seller;Sales and Marketing;Sales
Restaurant Manager;Restaurant Manager;Hospitality and Tourism;Restaurant Management
Service Quality - Transaction Banking Wholesale Group (TBW Group);Service Quality Manager;Customer Service or Support;Customer Service
Logistic Office Worker;Logistics Manager;Operations;Supply Chain and Logistics
Corporate Financial Controller;Financial Controller;Finance and Accounting;Accounting
Senior Data Scientist;Data Scientist;Data and Analytics;Data Science
Zoology professor;Zoology Professor;Education and Training;Teaching
Associate Account Manager (Dilayani Tokopedia);Account Manager;Sales and Marketing;Customer Management
public affairs consultant;Public Affairs Consultant;Public Relations and Communications;Public Affairs
Student Intern - BKSAP (Badan Kerja Sama Antar Parlemen);Intern;Education and Training;Intern
Fashion Designer RTW;Fashion Designer;Creative and Design;Fashion Design
Store Director;Store Manager;Sales and Marketing;Store Management
Tissue Handling And Treatment;Tissue Treatment Specialist;Healthcare;Tissue Treatment
Senior Account Executive;Account Executive;Sales and Marketing;Executive Leadership
e commerce analyst;E-Commerce Analyst;Sales and Marketing;E-Commerce
People Operations Assistant Manager;People Operations Manager;Human Resources;Employee Relations
Senior Account Wholesale Kids;Account Manager;Sales and Marketing;Customer Management
CRM/CLM & Martech Lead;Customer Relations Manager;Customer Service or Support;Customer Management
screenwriter;Screenwriter;Arts and Entertainment;Writing
fashion model;Fashion Model;Arts and Entertainment;Modeling
Interpreter;Interpreter;Language Services;Interpretation
Key Account Manager - On Trade;Key Account Manager;Sales and Marketing;Customer Management
MadetoMeasure Ambassador;Brand Ambassador;Sales and Marketing;Marketing
Programmer Analyst;Software Analyst;Information Technology;Creation of Software
Accountant;Accountant;Finance and Accounting;Accounting
Customer Service Specialist;Customer Service Representative;Customer Service or Support;Customer Service
Dresser;Dresser;Arts and Entertainment;Theatrical Production
Ecommerce Product Styling;Product Photographer;Creative and Design;Photography
statistical assistant;Statistical Expert;Data and Analytics;Statistics
SIT Tester;Software Tester;Information Technology;Quality Assurance and Testing
Administration And Finance;Administrative Clerk;Administrative and Office;Administrative Support
Security Guard;Security Guard;Military and Security;Private Security
Digital Project Manager;Project Manager;Operations;Project Management
Visual Merchandising Coordinator;Visual Merchandising Manager;Creative and Design;Visual Merchandising
Demand Planner;Demand Planner;Operations;Inventory Management
Senior Sales Consultant;Sales Consultant;Sales and Marketing;Consulting
Shipping Agency Operation;Shipping Manager;Operations;Supply Chain and Logistics
Sales Office UK Area;Salesperson;Sales and Marketing;Sales
Supervisor Prime Segment Sales Acquisition;Sales Supervisor;Sales and Marketing;Sales
Mr. Social Media Specialist ;Social Media Specialist;Sales and Marketing;Digital Marketing
Crossdock Ass. Manager;Crossdock Manager;Operations;Supply Chain and Logistics
Assistant Buyer;Assistant Buyer;Operations;Procurement and Purchasing
Student Parking Enforcement Officer;Parking Enforcement Officer;Military and Security;Law Enforcement
Clothing And Packaging Department Worker;Logistic Worker;Operations;Supply Chain and Logistics
Image Office;Public Relations Assistant;Public Relations and Communications;Public Relations
Assistant Manager HR Development;Human Capital Development Manager;Human Resources;Training and Development
Head of Video Banking Services Unit;Head of Video Banking Services;Information Technology;Executive Leadership
Merchandising Manager;Merchandiser Manager;Sales and Marketing;Merchandising
Master Tailor Master Tailor;Tailor;Creative and Design;Fashion Design
Ecommerce Production Coordinator;Production Coordinator;Operations;Procurement and Purchasing
CoCEO And Executive Board Member;Chief Executive Officer;Executive and Management;Executive Leadership
Customer Service Team Lead;Customer Service Manager;Customer Service or Support;Customer Service
Womens Retail Buyer;Retail Buyer;Sales and Marketing;Purchasing and Sourcing
Commercial Clerk Japan Area;Commercial Clerk;Sales and Marketing;Administrative Support
Administration Employee;Administrative Clerk;Administrative and Office;Administrative Support
Sales Expert;Salesperson;Sales and Marketing;Sales
Travel Manager;Travel Manager;Event Planning and Coordination;Travel Organization
Teacher;Teacher;Education and Training;Teaching
Senior Data Scientist EMEA;Data Scientist;Data and Analytics;Data Science
Technician;Technician;Unknown;Unknown
Senior Visual Merchandiser;Visual Merchandiser;Creative and Design;Visual Merchandising
Last Mile Hub Lead;Last Mile Hub Manager;Operations;Supply Chain and Logistics
interior decorator;Interior Decorator;Creative and Design;Interior Design
decorative painter;Decorative Painter;Creative and Design;Painting
machinist;Machinist;Manufacturing;Machining
Regional Manager;Regional Manager;Executive and Management;Department or Division Management
child psychotherapist;Child Psychotherapist;Healthcare;Psychotherapy
Marketing;Marketing Manager;Sales and Marketing;Marketing
Training Expert;Instructor;Education and Training;Teaching
Customer Care SpecialistEcommerce;Customer Care Specialist;Customer Service or Support;Customer Success
Intern;Intern;Education and Training;Intern
Enterprise Management and Roaming support Sr.Engr;Roaming Support Engineer;Information Technology;Technical Support
Employed;Worker;Unknown;Unknown
Head of Data Analytics;Head of Data Analytics;Data and Analytics;Executive Leadership
Graphic Designer Image Office;Graphic Designer;Creative and Design;Graphic Design
Stability Study Analyst;Stability Analyst;Research and Development;Chemistry
Boutique Manager;Store Manager;Sales and Marketing;Store Management
endocrinologist;Endocrinologist;Healthcare;Endocrinology
Receptionist Showroom Brunello Cucinelli Milan;Receptionist;Public Relations and Communications;Public Relations
Specialist - People Resourcing;Recruitment Specialist;Human Resources;Talent Acquisition and Recruitment
Group Supply Chain Director;Supply Chain Director;Operations;Supply Chain and Logistics
Operations Incharge;Operations Manager;Operations;Operations Management
Back Office For Press Office;Public Relations Assistant;Public Relations and Communications;Public Relations
Head of Systems Integration and Testing;Head of Systems Integration and Testing;Information Technology;Executive Leadership
Associate Account Director;Account Director;Sales and Marketing;Customer Management
content marketing manager;Content Marketing Manager;Sales and Marketing;Marketing
Feshion designer and stylist;Fashion Designer;Creative and Design;Fashion Design
CRM Coordinator For Europe;Customer Relations Manager;Customer Service or Support;Customer Management
marriage and family therapist;Family Psychologist;Healthcare;Family Therapy
Public Relations Intern;Public Relations Assistant;Public Relations and Communications;Public Relations
JÃ¤germeister senior brand ambassador Bali & Java;Brand Ambassador;Sales and Marketing;Marketing
Showroom Sales Executive Womenswear And Menswear;Showroom Supervisor;Sales and Marketing;Sales
Shima Textile Machine Programmer Technician;Textile Machine Programmer;Operations;Goods Production
Product Owner;Product Owner;Information Technology;Product Management
Volunteer;Volunteer;Community and Social Responsibility;Volunteering
tree trimmer;Tree Trimmer;Agriculture and Farming;Vegetation Management
Retail Sales Consultant & Visual Merchandising;Visual Merchandiser;Creative and Design;Visual Merchandising
Marketing Director;Marketing Director;Sales and Marketing;Executive Leadership
Senior Application Developer - Mobile & Web - Global System Support & Supply Chain;Application Developer;Information Technology;Creation of Software
Store Planner;Store Planner;Sales and Marketing;Store Management
Bailiff;Bailiff;Military and Security;Law Enforcement
General Affair and Office Support Senior Officer;General Affair Manager;Executive and Management;General Management
Modeller;Modeller;Creative and Design;Modeling
Graphic Designer;Graphic Designer;Creative and Design;Graphic Design
metal refining furnace operator;Metal Refining Furnace Operator;Manufacturing;Metalworking
Area Manager;Area Manager;Executive and Management;Department or Division Management
Mens Product Lead;Department Manager;Sales and Marketing;Department or Division Management
Sales Specialist;Salesperson;Sales and Marketing;Sales
Host;Host/Hostess;Customer Service or Support;Customer Facing Roles
Supervisor;Supervisor;Executive and Management;Department or Division Management
Vice President Human Resources;Vice President Human Resources;Human Resources;Executive Leadership
plant geneticist;Plant Geneticist;Science and Research;Genetics
Reservoir And Petroleum Engineer;Petroleum Engineer;Natural Resources Extraction;Petroleum Engineering
Deputy Store Manager;Store Manager;Sales and Marketing;Store Management
Sales Assistant;Salesperson;Sales and Marketing;Sales
Internal Communications Specialist;Internal Communications Manager;Public Relations and Communications;Corporate Comunication
Sample Manager & Showroom Assistant;Showroom Seller;Sales and Marketing;Sales
radiation oncologist;Radiation Oncologist;Healthcare;Oncology
Designer Womens Footwear;Fashion Designer;Creative and Design;Fashion Design
Tailoring Specialist;Tailor;Creative and Design;Fashion Design
Junior Relationship Manager;Relationship Manager;Sales and Marketing;Customer Management
Early Childhood Educator;Early Childhood Educator;Education and Training;Training and Development
Radio producer;Radio Producer;Arts and Entertainment;Production Art
Digital Copywriter;Copywriter;Creative and Design;Writing
Worker;Worker;Unknown;Unknown
risk analyst;Risk Analyst;Finance and Accounting;Risk Management
meteorology professor;Meteorology Professor;Education and Training;Teaching
Fashion Designer;Fashion Designer;Creative and Design;Fashion Design
Internship;Intern;Education and Training;Intern
Senior Sales Executive;Sales Manager;Sales and Marketing;Sales
Ecommerce Business Analyst;Business Analyst;Information Technology;Business Analysis
BPS Merchandiser;Merchandiser;Sales and Marketing;Merchandising
Customer Service Consultant;Customer Service Representative;Customer Service or Support;Customer Service
Quality Control Specialist;Quality Control Specialist;Operations;Quality Control
Credit Manager;Credit Manager;Finance and Accounting;Accounts Payable and Receivable
Director of Customer Experience;Customer Experience Manager;Customer Service or Support;Customer Experience
Anti money laundering specialist;Anti-Money Laundering Specialist;Legal and Compliance;Compliance
People Ops Supervisor;People Operations Manager;Human Resources;Employee Relations
Office Employee;Administrative Clerk;Administrative and Office;Administrative Support
Transport Planner;Transport Planner;Operations;Supply Chain and Logistics
compliace supervisor;Compliance Manager;Legal and Compliance;Compliance
Client Advisor;Customer Care Specialist;Customer Service or Support;Customer Success
Supervisor Inbound;Supervisor;Executive and Management;Department or Division Management
Pattern Maker;Pattern Maker;Creative and Design;Textile Production
E-commerce Support;E-commerce Support;Customer Service or Support;Customer Support
CRM Analyst;Customer Relations Specialist;Customer Service or Support;Customer Management
Brand Ambassador;Brand Ambassador;Sales and Marketing;Marketing
Junior Designer;Designer;Creative and Design;Design
cybersecurity analyst;Cybersecurity Analyst;Information Technology;Information Security
Personal interpreter;Interpreter;Language Services;Interpreting
Customer Care Capacity Planning Support;Customer Care Specialist;Customer Service or Support;Customer Success
Business Transformation;Business Transformation Manager;Corporate Planning;Business Development
Technology Mr Architect;Technical Architect;Information Technology;Architecture Design
Foreign Sales Representative Retail Office;Foreign Sales Representative;Sales and Marketing;Sales
Fitting Model;Fitting Model;Arts and Entertainment;Modeling
Senior Designer;Designer;Creative and Design;Design
Sales Manager;Sales Manager;Sales and Marketing;Sales
Modeler Help;Modeler;Information Technology;Data Science
Senior Executive Trade Marketing;Trade Marketing Manager;Sales and Marketing;Marketing
Licensing Director;Licensing Managar;Legal and Compliance;Intellectual Property
fire inspector;Fire Inspector;Legal and Compliance;Compliance
Senior Information Technology Manager;Information Technology Manager;Information Technology;Executive Leadership
Head Of Charity Projects;Head of Charity;Community and Social Responsibility;Corporate Social Responsibility
Assistant Manager;Assistant Manager;Executive and Management;Executive Support
Product Designer;Product Designer;Creative and Design;Product Design
Senior Account Executive And Retail Operations;Account Executive;Sales and Marketing;Executive Leadership
Bartender;Bartender;Customer Service or Support;Customer Facing Roles
Key Account;Key Account Manager;Sales and Marketing;Customer Management
data engineer;Data Engineer;Data and Analytics;Data Engineering
Working Student;Student;Education and Training;Learning
Sample Worker;Worker;Unknown;Unknown
Freelancer;Freelancer;Self-Employed;Self-Employed
CRM Director North America;Customer Relations Manager;Customer Service or Support;Customer Management
Financial Controller Singlebrand Planning And Control;Financial Controller;Finance and Accounting;Financial Planning and Analysis
Senior Product Specialist Merchandiser;Merchandiser;Sales and Marketing;Merchandising
IT Retail Operation EMEA Area;It Retail Specialist;Information Technology;Technical Support
Cosmetic Testing in Chemical Laboratory;Cosmetic Chemist;Research and Development;Chemistry
event planner;Event Planner;Event Planning and Coordination;Event Planning
MD Manager;Area Manager;Executive and Management;Department or Division Management
Flagship Store Manager;Store Manager;Sales and Marketing;Store Management
Senior Womens Retail Buyer;Retail Buyer;Sales and Marketing;Purchasing and Sourcing
Assistant Director Operational Excellence;Operational Excellence Manager;Operations;Process Improvement
Key Account Manager;Key Account Manager;Sales and Marketing;Customer Management
Software Development Engineer;Software Engineer;Information Technology;Creation of Software
Senior Sales Account;Account Manager;Sales and Marketing;Customer Management
Transport Operations Assistant Manager;Transport Operations Manager;Operations;Supply Chain and Logistics
maintenance worker;Maintenance Worker;Operations;Maintenance and Repair
Industrial Costs And Pricing;Cost Analyst;Finance and Accounting;Financial Planning and Analysis
Sales Representative;Salesperson;Sales and Marketing;Sales
Mass Funding Department Officer;Funding Manager;Finance and Accounting;Financial Planning and Analysis
Showroom Sales Account;Showroom Seller;Sales and Marketing;Sales
Slaughterer;Slaughterer;Food and Beverage;Food Production
Digital Content Specialist;Digital Content Specialist;Creative and Design;Digital Content
Fleet Procurement Staff;Procurement Officer;Operations;Purchasing and Sourcing
Marketing & Communications Manager;Marketing Manager;Sales and Marketing;Marketing
Chief Strategy Officer (CSO);Chief Strategy Officer;Corporate Planning;Executive Leadership
Business Intelligence Specialist;Business Intelligence Specialist;Data and Analytics;Business Intelligence
QA/QC;Quality Assurance Specialist;Operations;Quality Control
Lecturer;Lecturer;Education and Training;Teaching
butcher;Butcher;Food and Beverage;Food Production
Celebrity And VIP Relations Manager;Key Opinion Leader Specialist;Sales and Marketing;Advertising and Promotions
Human Resources Manager;Human Resources Manager;Human Resources;Human Resources
Frontliner;Frontliner;Customer Service or Support;Customer Service
Assistant Manager Talent Sourcing & Transfer;Recruitment Manager;Human Resources;Talent Acquisition and Recruitment
Food And Beverage Manager;Food And Beverage Manager;Food and Beverage;General Management
Events Communication And Strategic Marketing;Public Relations Assistant;Public Relations and Communications;Public Relations
Co-Owner;Owner;Executive and Management;Entrepreneurship
Logistics;Logistics Manager;Operations;Supply Chain and Logistics
Kol specialist (Trgr.id);Key Opinion Leader Specialist;Sales and Marketing;Advertising and Promotions
StyleProduct Assistant;Fashion Stylist;Creative and Design;Fashion Styling
Admin Project;Project Administrator;Operations;Project Management
Head of Engagement, Learning & Talent Management;People Development Manager;Human Resources;Training and Development
Operations Manager;Operations Manager;Operations;Operations Management
Ecommerce Production & Styling Assistant;Product Photographer;Creative and Design;Photography
Brunello Cucinelli General Manager Greater China Region;General Affair Manager;Executive and Management;General Management
Mens Design;Fashion Designer;Creative and Design;Fashion Design
Marketing Manager;Marketing Manager;Sales and Marketing;Marketing
Internal Sales;Inside Sales Representative;Sales and Marketing;Inside Sales
Performance Monitoring and Support;Performance Monitoring Manager;Human Resources;Performance Management
Communication And Image Office;Public Relations Assistant;Public Relations and Communications;Public Relations
boilermaker;Boilermaker;Manufacturing;Metalworking
With CEO;Chief Executive Officer;Executive and Management;Executive Leadership
philosophy professor;Philosophy Professor;Education and Training;Teaching
aerial photographer;Aerial Photographer;Creative and Design;Photography
SVP IT Business Partner;IT Business Partner;Information Technology;Business Analysis
Freelance;Freelancer;Self-Employed;Self-Employed
HR Business Partner;Human Resources Business Partner;Human Resources;Human Resources
Asst Manager of Recruitment & Assessment;Recruitment Manager;Human Resources;Talent Acquisition and Recruitment
space planner;Interior Designer;Creative and Design;Interior Design
Head of Product - Consumer Products;Product Manager;Sales and Marketing;Product Management
KOL Specialist;Key Opinion Leader Specialist;Sales and Marketing;Advertising and Promotions
careers adviser;Careers Adviser;Education and Training;Career Counseling
Call Center Agent;Call Center Representative;Customer Service or Support;Customer Service
Head Of Supply Chain;Supply Chain Manager;Operations;Supply Chain and Logistics
DÃ©veloppeur;Software Developer;Information Technology;Creation of Software
Senior Project Management;Project Manager;Operations;Project Management
VP - Head of B2B SMB Product & Marketing;Product Marketing Manager;Sales and Marketing;Marketing
Foreign Commercial;Foreign Sales Representative;Sales and Marketing;Sales
Season Sample Coordinator;Fashion Sample Coordinator;Creative and Design;Fashion Design
bench jeweler;Bench Jeweler;Manufacturing;Jewelry Design
chief financial officer;Chief Financial Officer;Finance and Accounting;Executive Leadership
Logistics & Customs Office;Logistics Clerk;Operations;Supply Chain and Logistics
Retail Merchandise Planner;Merchandiser;Sales and Marketing;Merchandising
industrial machinery mechanic;Industrial Machinery Mechanic;Manufacturing;Industrial Machinery Maintenance
Quality Assurance Specialist;Quality Assurance Specialist;Operations;Quality Control
digital media specialist;Digital Media Specialist;Sales and Marketing;Digital Marketing
Senior Financial Controller Digital & ECommerce;Financial Controller;Finance and Accounting;Accounting
Account Relationship Management;Account Manager;Sales and Marketing;Customer Management
mobile developer;Mobile Developer;Information Technology;Mobile Development
Digital Marketing Manager;Digital Marketing Manager;Sales and Marketing;Digital Marketing
Order taker;Order clerk;Customer Service or Support;Order Processing
CRM Senior CRM Analyst;Customer Relations Specialist;Customer Service or Support;Customer Management
Compensation & Benefits Coordinator;Compensation and Benefits Manager;Human Resources;Compensation and Benefits
neonatologist;Neonatologist;Healthcare;Neonatology
strategic planner;Strategic Planner;Corporate Planning;Strategic Planning
JÃ¤germeister brand promotion manager Far East & East Siberia;Brand Manager;Sales and Marketing;Marketing
Head of People;Chief Human Resources Officer;Human Resources;Executive Leadership
Accounts Payable Administrator;Accounts Payable Clerk;Finance and Accounting;Accounts Payable and Receivable
Associate Data Consultant;Data Analyst;Data and Analytics;Analytics and Insights
Editorial director;Editorial Director;Creative and Design;Executive Leadership
Ecommerce Merchandising Analyst;Merchandiser;Sales and Marketing;Merchandising
Drilling Engineer;Drilling Engineer;Natural Resources Extraction;Drilling
Knitwear Maker;Knitwear Maker;Manufacturing;Textile Production
fabric patternmaker;Fabric Patternmaker;Manufacturing;Textile and Apparel
Customer Care Assistant;Customer Service Representative;Customer Service or Support;Customer Service
assistant risk manager;Risk Manager;Finance and Accounting;Risk Management
Saleswoman;Salesperson;Sales and Marketing;Sales
Shipping Officer;Shipping Manager;Operations;Supply Chain and Logistics
Technical Support Engineer;Technical Support Engineer;Information Technology;Technical Support
Personal care aide;Personal Care Aide;Healthcare;Personal Care
Missing Information;Unknown;Unknown;Unknown
Retail Store Manager;Store Manager;Sales and Marketing;Store Management
Digital Marketing Specialist;Digital Marketing Specialist;Sales and Marketing;Digital Marketing
Base Distinguished Office Production;Production Manager;Operations;Production Managment
Sales Associate;Sales Associate;Sales and Marketing;Sales
painter;Painter;Creative and Design;Painting
Junior Visual Merchandiser;Visual Merchandiser;Creative and Design;Visual Merchandising
Relationship Manager;Relationship Manager;Sales and Marketing;Customer Management
meeting planner;Event Planner;Event Planning and Coordination;Event Planning
People Performance Reward & Analytics Lead;People Performance Manager;Human Resources;Performance Management
Multibrand Foreign Commercial Retail Europe;Foreign Sales Representative;Sales and Marketing;Sales
Jr Social Media Manager;Social Media Manager;Sales and Marketing;Digital Marketing
Digital Marketing Director;Digital Marketing Manager;Sales and Marketing;Digital Marketing
Business Development Officer;Business Development Specialist;Corporate Planning;Business Development
Head of Wealth Management (SG);Wealth Manager;Finance and Accounting;Asset Management
compliance manager;Compliance Manager;Legal and Compliance;Compliance
Retail Buyer;Retail Buyer;Sales and Marketing;Purchasing and Sourcing
Head of Operations & Service;Head of Operations;Operations;Executive Leadership
Junior Retail Buyer;Retail Buyer;Sales and Marketing;Purchasing and Sourcing
Procurement Officer;Procurement Officer;Operations;Purchasing and Sourcing
Branch Manager;Branch Manager;Executive and Management;Department or Division Management
Customer Relationships;Customer Relations Specialist;Customer Service or Support;Customer Management
Community Specialist;Community Specialist;Community and Social Responsibility;Community Engagement
Customs Office Management Control Area;Customs Office manager;Operations;Compliance
Warehouse Leader;Warehouse Manager;Operations;Facilities Management
Software Engineer;Software Engineer;Information Technology;Creation of Software
Legal Counsel;Legal Consultant;Legal and Compliance;Consulting
marketing research analyst;Marketing Research Analyst;Sales and Marketing;Market Research
HC Manager;Human Capital Development Manager;Human Resources;Training and Development
Store Manager;Store Manager;Sales and Marketing;Store Management
ICeo;Chief Executive Officer;Executive and Management;Executive Leadership
Ecommerce Customer Care Specialist;Customer Care Specialist;Customer Service or Support;Customer Success
Data Science Intern;Data Scientist;Data and Analytics;Data Science
Production Technician;Production Technician;Manufacturing;Goods Production
Customer Support Team Leader;Customer Support Manager;Customer Service or Support;Customer Support
BTPO Training Manager;Training Manager;Education and Training;Training and Development
Administrative Clerk;Administrative Clerk;Administrative and Office;Administrative Support
chief information security officer;Chief Information Security Officer;Information Technology;Executive Leadership
Commercial Associate;Commercial Clerk;Sales and Marketing;Administrative Support
Bank Teller;Bank Teller;Customer Service or Support;Customer Facing Roles
Artist Manager;Artist Manager;Public Relations and Communications;Public Relations
Product Inventory Specialist;Inventory Specialist;Operations;Inventory Management
Accounting assistant manager;Accounting Manager;Finance and Accounting;Accounting
Group FP&A Corporate Budgeting And Reporting;Financial Planner;Finance and Accounting;Financial Planning and Analysis
People resceptionist;Receptionist;Public Relations and Communications;Public Relations
Backend Software Engineer;Backend Software Engineer;Information Technology;Creation of Software
Scrum Master;Scrum Master;Operations;Project Management
Italian High Fashion Seller;Salesperson;Sales and Marketing;Sales
Senior Womens Buyer Canada;Buyer;Operations;Purchasing and Sourcing
Accounting - part timer/contract base;Accountant;Finance and Accounting;Accounting
veterinary med;Veterinarian;Animal Care and Services;Animal Health
Consolidation Accountant;Consolidation Accountant;Finance and Accounting;Accounting
Digital Account Manager;Account Manager;Sales and Marketing;Customer Management
Assistant Manager Facility Management;Facility Manager;Operations;Facilities Management
Customer experience team leader ;Customer Experience Manager;Customer Service or Support;Customer Experience
Brunello Cucinelli Mens And Childrens Footwear Technical Manager;Footwear Technical Manager;Creative and Design;Fashion Design
VIC Client Advisor Madison Avenue;Customer Care Specialist;Customer Service or Support;Customer Success
Senior Photographer;Photographer;Creative and Design;Photography
Commercial Employee;Commercial Clerk;Sales and Marketing;Administrative Support
Commercial Administrator;Commercial Clerk;Sales and Marketing;Administrative Support
Menswear Department Manager;Department Manager;Sales and Marketing;Department or Division Management
Responsible For Planning Checking And Shipping Goods;Logistics Manager;Operations;Supply Chain and Logistics
Commercial Department;Commercial Clerk;Sales and Marketing;Administrative Support
Solution Analyst;Solution Analyst;Information Technology;Business Analysis
instructor;Instructor;Education and Training;Teaching
B2B Customer Relations;Customer Relations Specialist;Customer Service or Support;Customer Management
outdoor education teacher;Outdoor Education Teacher;Education and Training;Teaching
Business Development Expert;Business Development Specialist;Corporate Planning;Business Development
Organization Development;Organization Development Manager;Corporate Planning;Organizational Development
Sales and Marketing Officer;Marketing Manager;Sales and Marketing;Marketing
Retail;Salesperson;Sales and Marketing;Sales
Return Employee;Worker;Unknown;Unknown
Mens Buying And CRM;Customer Relations Specialist;Customer Service or Support;Customer Management
Customer Service Officer;Customer Service Manager;Customer Service or Support;Customer Service
Team Supervisor;Supervisor;Executive and Management;Department or Division Management
Fashion Teachers;Fashion Teacher;Education and Training;Teaching
Mens Style Office Leather Accessories;Fashion Designer;Creative and Design;Fashion Design
Product Design Lead;Product Designer;Creative and Design;Product Design
Branch Operations & Service Manager;Branch Operations Manager;Operations;Operations Management
Multibrand Sales Office Europe Holland And Scandinavia;Foreign Sales Representative;Sales and Marketing;Sales
Sales Stock Associate;Stock Associate;Operations;Inventory Management
Administering input data;Data Entry Clerk ;Data and Analytics;Data Collection
Senior Internal Auditor;Internal Auditor;Finance and Accounting;Auditing
Trade Marketing Specialist;Trade Marketing Manager;Sales and Marketing;Marketing
Business Analyst;Business Analyst;Information Technology;Business Analysis
Talent Management Specialist ;Talent Manager;Human Resources;Talent Management
Director Of Windows And Display;Visual Merchandising Head;Sales and Marketing;Executive Leadership
Sales Advisor;Salesperson;Sales and Marketing;Sales
Small Business Owner;Owner;Executive and Management;Entrepreneurship
Director For Commercial And Financial Analytics;Chief Financial Officer;Finance and Accounting;Executive Leadership
HR Cost Controller Compensation & Benefit;Compensation and Benefits Manager;Human Resources;Compensation and Benefits
Executive ESS;Executive Support System Expert;Information Technology;Executive Support
Management Control;Controll Manager;Operations;Operations Management
Enumerator Team;Data Entry Clerk;Data and Analytics;Data Collection
Head Of Sartoria Solomeo MTM North America;Head of Tailoring;Creative and Design;Executive Leadership
Physiotherapist;Physiotherapist;Healthcare;Physical Therapy
Showroom Organizer;Showroom Supervisor;Sales and Marketing;Sales
Senior Client Advisor;Client Advisor;Customer Service or Support;Customer Success
Commercial Services Associate;Commercial Clerk;Sales and Marketing;Administrative Support
Data Consultant;Data Analyst;Data and Analytics;Data Analysis
Culture & Transformation Manager;Culture Manager;Human Resources;Culture
Environmental Health Safety;Environmental and Safety Officer;Environmental Services;Safety and Enviroment Protection
Government Property Inspector & Investigator;Government Property Inspector;Government and Public Administration;Government Administration
e commerce manager;E-Commerce Manager;Sales and Marketing;E-Commerce
Mr. Key Account Manager - FMCG;Key Account Manager;Sales and Marketing;Customer Management
Wildlife rehabilitator;Wildlife Rehabilitator;Animal Care and Services;Animal Health
Dot Net Developer;Software Developer;Information Technology;Creation of Software
Foreign Sales Representative Monobrand Office;Foreign Sales Representative;Sales and Marketing;Sales
Jr. Store Operations at Swift - A Tokopedia Company (GoTo Group);Store Operations Manager;Operations;Facilities Management
Junior Merchandise Planner;Merchandise Planner;Operations;Inventory Management
molecular geneticist;Molecular Geneticist;Science and Research;Genetics
Customer Care;Customer Care Specialist;Customer Service or Support;Customer Success
fashion illustrator;Fashion Illustrator;Creative and Design;Fashion Design
Floor Manager;Store Manager;Sales and Marketing;Store Management
Foreign Sales Office;Foreign Sales Representative;Sales and Marketing;Sales
Showroom Supervisor;Showroom Supervisor;Sales and Marketing;Sales
Senior Showroom Seller;Showroom Seller;Sales and Marketing;Sales
Senior Account Manager;Account Manager;Sales and Marketing;Customer Management
