skill_raw;skill_normalized;domain;field;type_of_skill
Private Brands;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Retail Branding;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Strategic Brand Consulting;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Strategic Brand Positioning;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Website Branding;Brand Marketing;Design, Marketing;Design, Marketing;Hard, Soft
Brochure;Typography;Typography, Design;Typography, Design;Hard
Brochure Production;Typography;Typography, Design;Typography, Design;Hard
Brochure Websites;Typography;Typography, Design;Typography, Design;Hard
Brochures;Typography;Typography, Design;Typography, Design;Hard
Company Brochures;Typography;Typography, Design;Typography, Design;Hard
E-brochures;Typography;Typography, Design;Typography, Design;Hard
Investigator Brochures;Typography;Typography, Design;Typography, Design;Hard
Sales Brochures;Typography;Typography, Design;Typography, Design;Hard
Cost Control;Budgeting;Accounting, Finance, Operations;General, Legal;Hard
Stesura on budget;Budgeting;Accounting, Finance, Operations;General, Legal;Hard
Business Analysis;Business Analysis;Accounting, Finance, Operations;General, Legal;Hard
Business Analysis Planning & Monitoring;Business Analysis;Accounting, Finance, Operations;General, Legal;Hard
Business Analytics;Business Analysis;Accounting, Finance, Operations;General, Legal;Hard
General Business Analysis;Business Analysis;Accounting, Finance, Operations;General, Legal;Hard
ISEB Business Analysis Essentials;Business Analysis;Accounting, Finance, Operations;General, Legal;Hard
ISEB Diploma in Business Analysis;Business Analysis;Accounting, Finance, Operations;General, Legal;Hard
Hilfsassistentin - Institute of Marketing and Business Management;Business Development;Sales, Marketing, Operations;Sales, Operations;Soft
Business Development;Business Development;Sales, Marketing, Operations;Sales, Operations;Soft
Business Development Intern;Business Development;Sales, Marketing, Operations;Sales, Operations;Soft
International Business;Business Development;Sales, Marketing, Operations;Sales, Operations;Soft
Internationales Management;Business Development;Sales, Marketing, Operations;Sales, Operations;Soft
Junior Strategy Consultant;Business Development;Sales, Marketing, Operations;Sales, Operations;Soft
BI;Business Intelligence;Data Analytics;IT;Hard
Business Intelligence;Business Intelligence;Data Analytics;IT;Hard
Business Planning;Business Planning;Sales, Operations;Sales, Operations;Hard, Soft
Business plan;Business Planning;Sales, Operations;Sales, Operations;Hard, Soft
Business Process;Business Process;Sales, Operations;Sales, Operations;Hard, Soft
Business Process Improvement;Business Process;Sales, Operations;Sales, Operations;Hard, Soft
Business Strategy;Business Strategy;Sales, Operations;Sales, Operations;Hard, Soft
IT & Business Strategy Alignment;Business Strategy;Sales, Operations;Sales, Operations;Hard, Soft
IT Business Strategy;Business Strategy;Sales, Operations;Sales, Operations;Hard, Soft
International Business Strategy;Business Strategy;Sales, Operations;Sales, Operations;Hard, Soft
Internet Business Strategy;Business Strategy;Sales, Operations;Sales, Operations;Hard, Soft
Sustainable Business Strategies;Business Strategy;Sales, Operations;Sales, Operations;Hard, Soft
C;Clang;Software Engineering;IT;Hard
C#;C#;Software Engineering;IT;Hard
C++;C++;Software Engineering;IT;Hard
C++ Builder;C++;Software Engineering;IT;Hard
C++/CLI;C++;Software Engineering;IT;Hard
C++0x;C++;Software Engineering;IT;Hard
CAD;CAD;Design, Product Management, Engineering, UX;Design;Hard
2D CAD Drawing;CAD;Design, Product Management, Engineering, UX;Design;Hard
3D, Animation und CAD;CAD;Design, Product Management, Engineering, UX;Design;Hard
3D, animación y CAD;CAD;Design, Product Management, Engineering, UX;Design;Hard
CAD Illustration;CAD;Design, Product Management, Engineering, UX;Design;Hard
CAD Standards;CAD;Design, Product Management, Engineering, UX;Design;Hard
CAD Tools;CAD;Design, Product Management, Engineering, UX;Design;Hard
CAD/CAM;CAD;Design, Product Management, Engineering, UX;Design;Hard
CAD/CAM Software;CAD;Design, Product Management, Engineering, UX;Design;Hard
CADAM;CAD;Design, Product Management, Engineering, UX;Design;Hard
CADDS5;CAD;Design, Product Management, Engineering, UX;Design;Hard
CADs;CAD;Design, Product Management, Engineering, UX;Design;Hard
Derivation rules;Calculus;Mathematics, Data Science;Research;Hard
CanOE;CanOE;Software Engineering, DevOps;IT;Hard
canoe tool;CanOE;Software Engineering, DevOps;IT;Hard
Canoeing;Canoeing;Sports;Sports;Hard
Change Management;Change Management;Operations, HR;HR, General;Hard, Soft
Change Management;Change Management;Operations, HR;HR, General;Hard, Soft
digitization;Change Management;Operations, HR;HR, General;Hard, Soft
Characterization;Characterization;Design, Product Management, Engineering, UX;Design;Hard
Device Characterization;Characterization;Design, Product Management, Engineering, UX;Design;Hard
Site Characterization;Characterization;Design, Product Management, Engineering, UX;Design;Hard
Chemistry;Chemistry;Chemistry, Research;Research;Hard
Chemistry Education;Chemistry;Chemistry, Research;Research;Hard
Coordination Chemistry;Chemistry;Chemistry, Research;Research;Hard
Flow Chemistry;Chemistry;Chemistry, Research;Research;Hard
Forensic Chemistry;Chemistry;Chemistry, Research;Research;Hard
General Chemistry;Chemistry;Chemistry, Research;Research;Hard
Inorganic Chemistry;Chemistry;Chemistry, Research;Research;Hard
Organic Chemistry;Chemistry;Chemistry, Research;Research;Hard
Organometallic Chemistry;Chemistry;Chemistry, Research;Research;Hard
Physical Chemistry;Chemistry;Chemistry, Research;Research;Hard
Physical Organic Chemistry;Chemistry;Chemistry, Research;Research;Hard
Polymer Chemistry;Chemistry;Chemistry, Research;Research;Hard
Supramolecular Chemistry;Chemistry;Chemistry, Research;Research;Hard
Surface Chemistry;Chemistry;Chemistry, Research;Research;Hard
Synthetic Organic Chemistry;Chemistry;Chemistry, Research;Research;Hard
Theoretical Chemistry;Chemistry;Chemistry, Research;Research;Hard
Wet Chemistry;Chemistry;Chemistry, Research;Research;Hard
Cisco IOS;Cisco Systems;Software Engineering, DevOps;IT;Hard
Cisco nologies;Cisco Systems;Software Engineering, DevOps;IT;Hard
Civil Engineering;Civil Engineering;Civil Engineering;Engineering;Hard
Civil Engineering Design;Civil Engineering;Civil Engineering;Engineering;Hard
Civil Engineering Drafting;Civil Engineering;Civil Engineering;Engineering;Hard
Cloud-Computing;Cloud-Computing;Software Engineering, DevOps;IT;Hard
Distributed Systems;Cloud-Computing;Software Engineering, DevOps;IT;Hard
CMMS;CMS;Copywriting, Digital Marketing, Software Engineering;Marketing, IT;Hard, Soft
CMS;CMS;Copywriting, Digital Marketing, Software Engineering;Marketing, IT;Hard, Soft
Coaching;Employee Training and Development;General;General;Soft
Tutoring;Employee Training and Development;General;General;Soft
cogns;Cognos;Data Analytics, Data Science;IT, Statistics;Hard
Cognos;Cognos;Data Analytics, Data Science;IT, Statistics;Hard
Cognos ReportNet;Cognos;Data Analytics, Data Science;IT, Statistics;Hard
Cognos Upfront;Cognos;Data Analytics, Data Science;IT, Statistics;Hard
cognos tool;Cognos;Data Analytics, Data Science;IT, Statistics;Hard
Communication;Communication;General;Communication;Soft
Corporate Communications;Communication;General;Communication;Soft
Customer Relations;Customer Relationship Management;Customer Relationship Management;Sales, Marketing;Hard
Formulation;Communication;General;Communication;Soft
Internal Communications;Communication;General;Communication;Soft
Interpersonal Communication;Communication;General;Communication;Soft
Interpersonal relationships;Interpersonal Skills;General;General;Soft
Marketing communication;Communication;General;Communication;Soft
Oratory;Communication;General;Communication;Soft
PR & Communications Specialist;Communication;General;Communication;Soft
Public Relations;Communication;General;Communication;Soft
Public Speaking;Communication;General;Communication;Soft
Storytelling;Communication;General;Communication;Soft
comms;Communication;General;Communication;Soft
Moderation;Community Management;General, Social Media Management;Communication;Soft
Analytical Chemistry;Computational Chemistry;Chemistry, Research, Computer Science;Research, IT;Hard
Combinatorial Chemistry;Computational Chemistry;Chemistry, Research, Computer Science;Research, IT;Hard
Computational Chemistry;Computational Chemistry;Chemistry, Research, Computer Science;Research, IT;Hard
Formulation Chemistry;Computational Chemistry;Chemistry, Research, Computer Science;Research, IT;Hard
Quantum Chemistry;Computational Chemistry;Chemistry, Research, Computer Science;Research, IT;Hard
Computer Hardware;Computer Hardware Maintenance;General, Electrical Wiring;IT;Hard
Computer Maintenance;Computer Hardware Maintenance;General, Electrical Wiring;IT;Hard
Computer programming;Computer Programming;Computer Science;IT;Hard
OOP;Computer Programming;Computer Science;IT;Hard
Object Oriented Design;Computer Programming;Computer Science;IT;Hard
Object-Oriented Programming (OOP);Computer Programming;Computer Science;IT;Hard
Computer Science;Computer Science;General, Computer Science;IT;Hard
HP-UX;Computer Science;General, Computer Science;IT;Hard
HXC;Computer Science;General, Computer Science;IT;Hard
Informatique;Computer Science;General, Computer Science;IT;Hard
Lotus Notes;Computer Science;General, Computer Science;IT;Hard
Concept design;User Experience Design;Design, Product Management, Engineering, UX;Design;Hard
Concept Development;Concept Design;Design, Product Management, Engineering, UX;Design;Hard
Concrete;Construction;Construction, Civil Engineering;General, Engineering;Hard
Construction;Construction;Construction, Civil Engineering;General, Engineering;Hard
Construction Management;Construction;Construction, Civil Engineering;General, Engineering;Hard
Consultant;Consultancy;General;General;Soft
Consulting;Consultancy;General;General;Soft
Consumer Behavior;Consumer Behavior Analysis;SEO, CRO, Design, UX;Marketing, Design;Hard
Consumer Behaviour;Consumer Behavior Analysis;SEO, CRO, Design, UX;Marketing, Design;Hard
Consumer Products;Consumer Behavior Analysis;SEO, CRO, Design, UX;Marketing, Design;Hard
Online content creation;Content Marketing;Content Marketing;Marketing;Hard, Soft
Content Director;Content Marketing;Content Marketing;Marketing;Hard, Soft
Content Freelancerin;Content Marketing;Content Marketing;Marketing;Hard, Soft
Content Management;Content Marketing;Content Marketing;Marketing;Hard, Soft
Content Marketing;Content Marketing;Content Marketing;Marketing;Hard, Soft
Content Strategy;Content Marketing;Content Marketing;Marketing;Hard, Soft
Web Content;Content Marketing;Content Marketing;Marketing;Hard, Soft
Web Content Management;Content Marketing;Content Marketing;Marketing;Hard, Soft
Jenkins;DevOps;Software Engineering, DevOps;IT;Hard
Seocopywriter;Copywriting;SEO, Marketing;Marketing;Hard, Soft
Copywriting;Copywriting;SEO, Marketing;Marketing;Hard, Soft
Creative Writing;Copywriting;SEO, Marketing;Marketing;Hard, Soft
Internet content copywriting;Copywriting;SEO, Marketing;Marketing;Hard, Soft
SEO Copywriting;Copywriting;SEO, Marketing;Marketing;Hard, Soft
Writing;Copywriting;SEO, Marketing;Marketing;Hard, Soft
Corporate Finance;Corporate Finance;Accounting, Finance, Operations;General, Legal, Finance;Hard
corporate governance;Corporate Governance;Operations, Legal;Operations, Legal;Hard, Soft
corporate strategy;Business Strategy;Sales, Operations;Sales, Operations;Hard, Soft
Cosmetics;Makeup Artistry and Application;Cosmetics, Beauty Industry;Beauty Industry;Hard, Soft
Group therapy;Counceling;Psychology;Psychology, Communication;Hard
CRM;Customer Relationship Management;Customer Relationship Management;Sales, Marketing;Hard
CRO;CRO;SEO, CRO, Design, UX;Marketing, Design;Hard
Conversion rate optimization;CRO;SEO, CRO, Design, UX;Marketing, Design;Hard
CSS;CSS;Software Engineering;IT;Hard
Cascading Style Sheets (CSS);CSS;Software Engineering;IT;Hard
Customer Relationship Management (CRM);Customer Relationship Management;Customer Relationship Management;Sales, Marketing;Hard
Customer Satisfaction;Customer Relationship Management;Customer Relationship Management;Sales, Marketing;Hard
Customer Care;Customer Support;General, Sales;General, Sales;Hard, Soft
Customer care assistant/Press officer;Customer Support;General, Sales;General, Sales;Hard, Soft
Front office;Customer Support;General, Sales;General, Sales;Hard, Soft
Reception- und Servicemitarbeiterin;Customer Support;General, Sales;General, Sales;Hard, Soft
nical Support;Customer Support;General, Sales;General, Sales;Hard, Soft
Thesis Desk Manager;Customer Support;General, Sales;General, Sales;Hard, Soft
customer service;Customer Support;General, Sales;General, Sales;Hard, Soft
customer service employee;Customer Support;General, Sales;General, Sales;Hard, Soft
(ISC)2;Cybersecurity;Computer Science, DevOps, Software Engineering;IT;Hard
Data Analysis;Data Analysis;Data Analytics, Data Science, Data Engineering;IT, Statistics;Hard
Data Structures;Data Analysis;Data Analytics, Data Science, Data Engineering;IT, Statistics;Hard
Forecasting;Data Analysis;Data Analytics, Data Science, Data Engineering;IT, Statistics;Hard
Quantitative Analyse;Data Analysis;Data Analytics, Data Science, Data Engineering;IT, Statistics;Hard
Quantitative Analysis;Data Analysis;Data Analytics, Data Science, Data Engineering;IT, Statistics;Hard
Statistical Data Analysis;Data Analysis;Data Analytics, Data Science, Data Engineering;IT, Statistics;Hard
Web Analyst & Developer @ Pro Web Consulting;Data Analysis;Data Analytics, Data Science, Data Engineering;IT, Statistics;Hard
Web Analytics;Data Analysis;Data Analytics, Data Science, Data Engineering;IT, Statistics;Hard
Analysis;Data Analytics;Data Analytics, Data Science, Data Engineering;IT, Statistics;Hard
Analytical Skills;Analytical Skills;General;General;Soft
SCADA;Data Collection;Data Engineering, QA;IT;Hard
Data Engineering;Data Engineering;Data Science, Data Engineering;IT, Statistics;Hard
Order entry;Data Entry;Computer Science, General;IT;Hard, Soft
Master Data Management;Data Management;Data Science, Data Analytics, Data Engineering;IT, Statistics;Hard
Data Manipulation;Data Manipulation;Data Analytics, Data Science, Software Engineering, Data Engineering;IT, Statistics;Hard
Data Mining;Data Mining;Data Analytics, Data Science, Software Engineering;IT, Statistics;Hard
Data Science;Data Science;Data Analytics, Data Science, Data Engineering;IT, Statistics;Hard
Deep Learning;Data Science;Data Analytics, Data Science, Data Engineering;IT, Statistics;Hard
Statistical modelling;Data Science;Data Analytics, Data Science, Data Engineering;IT, Statistics;Hard
Data Visualization;Data Visualization;Data Analytics, Data Science;IT, Statistics;Hard
Design database;Database Administration;Software Engineering, Data Engineering;IT;Hard
Relational Model;Database Administration;Software Engineering, Data Engineering;IT;Hard
Database;Database Administration;Software Engineering, Data Engineering;IT;Hard
Database Design;Database Administration;Software Engineering, Data Engineering;IT;Hard
Databases;Database Administration;Software Engineering, Data Engineering;IT;Hard
EMC Storage;Database Administration;Software Engineering, Data Engineering;IT;Hard
Essbase;Database Administration;Software Engineering, Data Engineering;IT;Hard
DFT Calculations;Quantum Mechanics;Data Analysis, Mathematics, Physics;Engineering, Mathematics;Hard
Desktop Publishing;Desktop Publishing;Typography, Design;Typography, Design;Hard
Continuous Improvement;DevOps;Software Engineering, DevOps;IT;Hard
Infrastructure;DevOps;Software Engineering, DevOps;IT;Hard
internet;Digital Awareness;General;General;Soft
.com;Digital Awareness;General;General;Soft
Digital Marketing;Digital Marketing;Marketing;Marketing, Design;Hard, Soft
Digital Marketing Employee;Digital Marketing;Marketing;Marketing, Design;Hard, Soft
Digital Media;Digital Marketing;Marketing;Marketing, Design;Hard, Soft
Digital Medien;Digital Marketing;Marketing;Marketing, Design;Hard, Soft
Digital PR Internship;Digital Marketing;Marketing;Marketing, Design;Hard, Soft
Digital Project Manager Account Manager @ Pro Web Consulting;Digital Marketing;Marketing;Marketing, Design;Hard, Soft
Digital Strategy;Digital Marketing;Marketing;Marketing, Design;Hard, Soft
Digital Transformation;Digital Marketing;Marketing;Marketing, Design;Hard, Soft
Digitale Marketing;Digital Marketing;Marketing;Marketing, Design;Hard, Soft
Digitales Marketing;Digital Marketing;Marketing;Marketing, Design;Hard, Soft
Direct Marketing;Digital Marketing;Marketing;Marketing, Design;Hard, Soft
Integrated marketing;Digital Marketing;Marketing;Marketing, Design;Hard, Soft
International Marketing;Digital Marketing;Marketing;Marketing, Design;Hard, Soft
Online Marketing;Digital Marketing;Marketing;Marketing, Design;Hard, Soft
SEM;Digital Marketing;Marketing;Marketing, Design;Hard, Soft
Search Engine Marketing (SEM);Digital Marketing;Marketing;Marketing, Design;Hard, Soft
Search Marketing;Digital Marketing;Marketing;Marketing, Design;Hard, Soft
Stagiaire Online Marketing;Digital Marketing;Marketing;Marketing, Design;Hard, Soft
Web Marketing;Digital Marketing;Marketing;Marketing, Design;Hard, Soft
search engine advertising;Digital Marketing;Marketing;Marketing, Design;Hard, Soft
Django;Django;Software Engineering;IT;Hard
Dreamweaver;Dreamweaver;Design, SEO, UX;IT;Hard
E-Commerce;E-Commerce Management;Marketing;Marketing;Hard, Soft
E-Commerce Consultant;E-Commerce Management;Marketing;Marketing;Hard, Soft
E-Commerce SEO;E-Commerce Management;Marketing;Marketing;Hard, Soft
E-business;E-Commerce Management;Marketing;Marketing;Hard, Soft
eCommerce;E-Commerce Management;Marketing;Marketing;Hard, Soft
E-Mail-Marketing;E-Mail Marketing;Marketing;Marketing;Hard, Soft
Email Marketing;E-Mail Marketing;Marketing;Marketing;Hard, Soft
Marketing via e-mail;E-Mail Marketing;Marketing;Marketing;Hard, Soft
Newsletter;E-Mail Marketing;Marketing;Marketing;Hard, Soft
Newsletter Design;Graphic Design;Design, Art, Modeling;Design;Hard
Eclipse;IDE;Data Analytics, Data Science, Software Engineering, Data Engineering;IT;Hard
Econometrics;Economics;Economics;Economics;Hard
Economics;Economics;Economics;Economics;Hard
Economy and Management;Economics;Economics;Economics;Hard
Electrochemical Characterization;Electrochemical Characterization;Chemistry, Research, Electronics;Research;Hard
Polymer Characterization;Electrochemical Characterization;Chemistry, Research, Electronics;Research;Hard
Protein Characterization;Electrochemical Characterization;Chemistry, Research, Electronics;Research;Hard
Solid State Characterization;Electrochemical Characterization;Chemistry, Research, Electronics;Research;Hard
Thin Film Characterization;Electrochemical Characterization;Chemistry, Research, Electronics;Research;Hard
Waste Characterization;Electrochemical Characterization;Chemistry, Research, Electronics;Research;Hard
Electronics;Electronics;Electronics;Electronics;Hard
Energy Efficiency;Energy Management;Sustainability;Environment, Sustainability;Hard
Engenharia;Engineering;Engineering;Design;Hard
Engineering;Engineering;Engineering;Design;Hard
Engineering Design;Engineering;Engineering;Design;Hard
English;English;General;General, Languages;Soft
English language;English;General;General, Languages;Soft
Inglês;English;General;General, Languages;Soft
Lingua inglese;English;General;General, Languages;Soft
Corporate Entrepreneurship;Entrepreneurship;General;General;Soft
Entrepreneurship;Entrepreneurship;General;General;Soft
Go-to-market;Sales;Sales;Sales;Hard, Soft
Owner of the company;Entrepreneurship;General;General;Soft
Start-ups;Entrepreneurship;General;General;Soft
Startup companies;Entrepreneurship;General;General;Soft
Atmospheric Chemistry;Environmental Chemistry;Chemistry, Research, Sustainability;Research;Hard
Environmental Chemistry;Environmental Chemistry;Chemistry, Research, Sustainability;Research;Hard
Green Chemistry;Environmental Chemistry;Chemistry, Research, Sustainability;Research;Hard
Heterocyclic Chemistry;Environmental Chemistry;Chemistry, Research, Sustainability;Research;Hard
Soil Chemistry;Environmental Chemistry;Chemistry, Research, Sustainability;Research;Hard
ERP;ERP;Operations;General;Hard, Soft
